Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.119949,0.123106,0.119949,0.119949,0.003908,1236000
1980-03-18,0.119949,0.119949,0.115215,0.119949,0.003908,1010400
1980-03-19,0.119949,0.119949,0.116793,0.119949,0.003908,540000
1980-03-20,0.115215,0.115215,0.110480,0.112058,0.003651,1668000
1980-03-21,0.107323,0.107323,0.101010,0.104167,0.003394,2882400
1980-03-24,0.102588,0.102588,0.094697,0.094697,0.003086,3446400
1980-03-25,0.096275,0.102588,0.096275,0.101010,0.003291,4572000
1980-03-26,0.101010,0.108902,0.101010,0.108902,0.003548,1934400
1980-03-27,0.107323,0.107323,0.102588,0.105745,0.003446,960000
1980-03-28,0.105745,0.108902,0.105745,0.108902,0.003548,602400
1980-03-31,0.108902,0.110480,0.105745,0.110480,0.003600,648000
1980-04-01,0.110480,0.112058,0.110480,0.112058,0.003651,1430400
1980-04-02,0.112058,0.112058,0.108902,0.110480,0.003600,398400
1980-04-03,0.110480,0.110480,0.108902,0.108902,0.003548,134400
1980-04-07,0.108902,0.110480,0.107323,0.108902,0.003548,648000
1980-04-08,0.108902,0.108902,0.102588,0.107323,0.003497,926400
1980-04-09,0.107323,0.110480,0.105745,0.110480,0.003600,1164000
1980-04-10,0.110480,0.112058,0.110480,0.112058,0.003651,434400
1980-04-11,0.112058,0.113636,0.110480,0.110480,0.003600,2306400
1980-04-14,0.110480,0.112058,0.110480,0.110480,0.003600,854400
1980-04-15,0.110480,0.110480,0.107323,0.110480,0.003600,470400
1980-04-16,0.110480,0.113636,0.107323,0.107323,0.003497,648000
1980-04-17,0.107323,0.107323,0.102588,0.104167,0.003394,240000
1980-04-18,0.104167,0.107323,0.104167,0.105745,0.003446,290400
1980-04-21,0.105745,0.112058,0.105745,0.110480,0.003600,710400
1980-04-22,0.110480,0.112058,0.107323,0.110480,0.003600,746400
1980-04-23,0.110480,0.116793,0.107323,0.110480,0.003600,1212000
1980-04-24,0.110480,0.110480,0.108902,0.110480,0.003600,326400
1980-04-25,0.108902,0.108902,0.105745,0.108902,0.003548,710400
1980-04-28,0.107323,0.107323,0.097854,0.101010,0.003291,3048000
1980-04-29,0.101010,0.104167,0.101010,0.102588,0.003343,876000
1980-04-30,0.102588,0.104167,0.102588,0.102588,0.003343,1238400
1980-05-01,0.102588,0.104167,0.099432,0.099432,0.003240,828000
