Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.058953,1.110609,1.058953,1.065410,0.016070,557200
1980-03-18,1.065410,1.084781,1.058953,1.084781,0.016362,660000
1980-03-19,1.084781,1.110609,1.078324,1.091238,0.016459,1167200
1980-03-20,1.091238,1.097695,1.071867,1.097695,0.016557,785600
1980-03-21,1.084781,1.084781,1.065410,1.078324,0.016264,338400
1980-03-24,1.078324,1.097695,1.071867,1.091238,0.016459,1080000
1980-03-25,1.084781,1.084781,1.071867,1.078324,0.016264,524400
1980-03-26,1.084781,1.104152,1.084781,1.104152,0.016654,694800
1980-03-27,1.097695,1.097695,1.058953,1.078324,0.016264,967600
1980-03-28,1.078324,1.162266,1.078324,1.155809,0.017433,1322000
1980-03-31,1.155809,1.181637,1.136438,1.168723,0.017628,853600
1980-04-01,1.168723,1.207465,1.168723,1.207465,0.018212,253200
1980-04-02,1.207465,1.259121,1.188094,1.239750,0.018699,704400
1980-04-03,1.239750,1.246207,1.213922,1.233293,0.018602,1236800
1980-04-07,1.233293,1.246207,1.188094,1.233293,0.018602,2619200
1980-04-08,1.233293,1.278492,1.226836,1.272035,0.019186,1534800
1980-04-09,1.272035,1.291406,1.265578,1.284949,0.019381,423600
1980-04-10,1.284949,1.291406,1.284949,1.291406,0.019478,360000
1980-04-11,1.291406,1.291406,1.278492,1.278492,0.019284,512800
1980-04-14,1.272035,1.272035,1.226836,1.226836,0.018505,1008400
1980-04-15,1.226836,1.233293,1.207465,1.220379,0.018407,828400
1980-04-16,1.220379,1.220379,1.201008,1.213922,0.018310,506800
1980-04-17,1.207465,1.207465,1.175180,1.201008,0.018115,611600
1980-04-18,1.207465,1.213922,1.207465,1.207465,0.018212,272800
1980-04-21,1.207465,1.213922,1.207465,1.207465,0.018212,86800
1980-04-22,1.207465,1.233293,1.207465,1.226836,0.018505,2140800
1980-04-23,1.226836,1.246207,1.213922,1.213922,0.018310,1654800
1980-04-24,1.213922,1.213922,1.181637,1.181637,0.017823,2061600
1980-04-25,1.168723,1.168723,1.149352,1.155809,0.017433,536000
1980-04-28,1.155809,1.175180,1.155809,1.175180,0.017725,1380000
1980-04-29,1.175180,1.213922,1.175180,1.201008,0.018115,1146000
1980-04-30,1.201008,1.220379,1.194551,1.220379,0.018407,596000
1980-05-01,1.220379,1.239750,1.207465,1.207465,0.018212,4624800
1980-05-02,1.207465,1.220379,1.188094,1.201008,0.018115,724000
1980-05-05,1.201008,1.226836,1.201008,1.226836,0.018505,392800
