Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.718750,3.812500,3.718750,3.718750,0.125219,16000
1980-03-18,3.718750,3.812500,3.718750,3.750000,0.126271,8000
1980-03-19,3.750000,3.843750,3.656250,3.750000,0.126271,36800
1980-03-20,3.750000,3.812500,3.750000,3.812500,0.128376,7200
1980-03-21,3.812500,3.812500,3.656250,3.718750,0.125219,10400
1980-03-24,3.718750,3.750000,3.656250,3.656250,0.123114,6000
1980-03-25,3.656250,3.718750,3.656250,3.718750,0.125219,4800
1980-03-26,3.718750,3.843750,3.718750,3.843750,0.129428,7200
1980-03-27,3.843750,3.843750,3.656250,3.718750,0.125219,9200
1980-03-28,3.656250,3.656250,3.656250,3.656250,0.123114,1200
1980-03-31,3.656250,3.843750,3.656250,3.843750,0.129428,16400
1980-04-01,3.843750,3.875000,3.781250,3.843750,0.129428,10800
1980-04-02,3.875000,4.031250,3.875000,4.031250,0.135741,3600
1980-04-03,4.031250,4.031250,3.906250,3.906250,0.131532,8800
1980-04-07,3.906250,4.000000,3.906250,3.937500,0.132585,7600
1980-04-08,3.937500,4.062500,3.906250,4.062500,0.136794,8000
1980-04-09,4.062500,4.062500,3.906250,4.000000,0.134689,9200
1980-04-10,4.000000,4.062500,3.937500,4.031250,0.135741,18000
1980-04-11,4.031250,4.156250,4.000000,4.062500,0.136794,14800
1980-04-14,4.156250,4.312500,4.156250,4.250000,0.143107,20800
1980-04-15,4.250000,4.312500,4.250000,4.312500,0.145212,9600
1980-04-16,4.343750,4.468750,4.343750,4.437500,0.149421,13600
1980-04-17,4.437500,4.562500,4.312500,4.562500,0.153630,13600
1980-04-18,4.562500,4.750000,4.562500,4.593750,0.154682,28000
1980-04-21,4.593750,4.593750,4.500000,4.562500,0.153630,12800
1980-04-22,4.562500,4.562500,4.500000,4.562500,0.153630,6400
1980-04-23,4.562500,4.593750,4.531250,4.531250,0.152578,8400
1980-04-24,4.531250,4.531250,4.312500,4.343750,0.146264,9600
1980-04-25,4.375000,4.500000,4.375000,4.500000,0.151525,5200
1980-04-28,4.500000,4.531250,4.500000,4.500000,0.151525,3600
1980-04-29,4.468750,4.468750,4.406250,4.406250,0.148369,5600
1980-04-30,4.406250,4.437500,4.375000,4.375000,0.147316,14800
1980-05-01,4.375000,4.468750,4.250000,4.343750,0.146264,17600
1980-05-02,4.343750,4.375000,4.312500,4.312500,0.145212,3600
1980-05-05,4.312500,4.468750,4.281250,4.375000,0.147316,25600
1980-05-06,4.375000,4.437500,4.312500,4.406250,0.148369,11200
1980-05-07,4.437500,4.500000,4.437500,4.468750,0.150473,14800
1980-05-08,4.468750,4.468750,4.406250,4.468750,0.150473,17200
1980-05-09,4.468750,4.468750,4.375000,4.406250,0.148369,9200
1980-05-12,4.406250,4.468750,4.343750,4.468750,0.150473,7600
1980-05-13,4.468750,4.468750,4.406250,4.468750,0.150473,13600
1980-05-14,4.468750,4.500000,4.468750,4.468750,0.150473,10000
1980-05-15,4.468750,4.500000,4.468750,4.468750,0.150473,16000
1980-05-16,4.468750,4.500000,4.406250,4.500000,0.151525,16400
1980-05-19,4.500000,4.500000,4.406250,4.406250,0.148369,9600
1980-05-20,4.406250,4.468750,4.406250,4.406250,0.148369,4400
1980-05-21,4.406250,4.468750,4.406250,4.437500,0.149421,8400
1980-05-22,4.468750,4.500000,4.468750,4.500000,0.151525,5600
1980-05-23,4.500000,4.531250,4.437500,4.500000,0.151525,10000
1980-05-27,4.531250,4.562500,4.531250,4.562500,0.153630,11600
1980-05-28,4.562500,4.562500,4.531250,4.531250,0.152578,10000
1980-05-29,4.531250,4.593750,4.531250,4.562500,0.153630,13200
1980-05-30,4.562500,4.562500,4.500000,4.500000,0.151525,7200
1980-06-02,4.500000,4.593750,4.468750,4.562500,0.153630,10800
1980-06-03,4.562500,4.562500,4.437500,4.531250,0.152578,9600
1980-06-04,4.531250,4.562500,4.468750,4.531250,0.152578,18400
1980-06-05,4.531250,4.593750,4.500000,4.593750,0.154682,18400
1980-06-06,4.593750,4.593750,4.562500,4.562500,0.153630,7600
1980-06-09,4.593750,4.687500,4.593750,4.656250,0.156787,18800
1980-06-10,4.656250,4.656250,4.562500,4.656250,0.156787,19600
1980-06-11,4.656250,4.656250,4.562500,4.562500,0.153630,22000
1980-06-12,4.562500,4.625000,4.531250,4.562500,0.153630,20000
1980-06-13,4.593750,4.656250,4.593750,4.625000,0.155734,5200
1980-06-16,4.625000,4.656250,4.562500,4.656250,0.156787,35600
1980-06-17,4.656250,4.656250,4.593750,4.656250,0.156787,20400
1980-06-18,4.656250,4.656250,4.593750,4.656250,0.156787,15600
1980-06-19,4.656250,4.750000,4.656250,4.687500,0.157839,22800
1980-06-20,4.718750,4.781250,4.718750,4.781250,0.160996,22000
1980-06-23,4.781250,4.812500,4.750000,4.812500,0.162048,14800
1980-06-24,4.812500,4.906250,4.781250,4.875000,0.164153,26800
1980-06-25,4.875000,4.906250,4.843750,4.906250,0.165205,18800
1980-06-26,4.906250,4.937500,4.812500,4.937500,0.166257,22800
1980-06-27,4.937500,4.937500,4.875000,4.875000,0.164153,5200
1980-06-30,4.875000,4.906250,4.812500,4.875000,0.164153,20000
1980-07-01,4.875000,4.906250,4.750000,4.812500,0.162048,12000
1980-07-02,4.812500,4.843750,4.781250,4.781250,0.160996,8000
1980-07-03,4.781250,4.843750,4.750000,4.750000,0.159943,12800
1980-07-07,4.781250,4.843750,4.781250,4.843750,0.163100,8000
1980-07-08,4.843750,4.875000,4.718750,4.812500,0.162048,28000
1980-07-09,4.812500,4.875000,4.750000,4.750000,0.159943,13600
1980-07-10,4.750000,4.750000,4.687500,4.718750,0.158891,16000
1980-07-11,4.718750,4.718750,4.593750,4.656250,0.156787,32000
1980-07-14,4.656250,4.812500,4.656250,4.718750,0.158891,24000
1980-07-15,4.750000,4.812500,4.750000,4.812500,0.162048,6800
1980-07-16,4.812500,4.843750,4.687500,4.687500,0.157839,16000
1980-07-17,4.687500,4.781250,4.687500,4.718750,0.158891,5200
