Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.851563,6.890625,6.843750,6.851563,0.444658,72000
1970-01-05,6.859375,6.898438,6.859375,6.890625,0.447193,446400
1970-01-06,6.890625,6.960938,6.882813,6.960938,0.451756,176000
1970-01-07,6.960938,7.015625,6.945313,7.000000,0.454291,164800
1970-01-08,7.000000,7.109375,6.984375,7.093750,0.460375,304000
1970-01-09,7.093750,7.117188,7.039063,7.078125,0.459361,139200
1970-01-12,7.078125,7.085938,7.031250,7.085938,0.459868,118400
1970-01-13,7.085938,7.125000,7.062500,7.062500,0.458347,262400
1970-01-14,7.070313,7.171875,7.070313,7.140625,0.463417,377600
1970-01-15,7.109375,7.109375,7.000000,7.000000,0.454291,169600
1970-01-16,7.000000,7.046875,6.828125,6.953125,0.451249,289600
1970-01-19,6.875000,6.875000,6.781250,6.812500,0.442122,179200
1970-01-20,6.812500,6.867188,6.781250,6.867188,0.445672,172800
1970-01-21,6.867188,6.867188,6.804688,6.851563,0.444658,272000
1970-01-22,6.851563,6.906250,6.835938,6.890625,0.447193,318400
1970-01-23,6.890625,6.914063,6.820313,6.820313,0.442630,176000
1970-01-26,6.820313,6.867188,6.750000,6.789063,0.440602,278400
1970-01-27,6.789063,6.796875,6.578125,6.578125,0.426912,217600
1970-01-28,6.578125,6.640625,6.531250,6.539063,0.424377,344000
1970-01-29,6.531250,6.531250,6.437500,6.437500,0.417786,296000
1970-01-30,6.437500,6.437500,6.226563,6.273438,0.407138,430400
1970-02-02,6.273438,6.281250,6.226563,6.273438,0.407138,340800
1970-02-03,6.273438,6.468750,6.273438,6.437500,0.417786,692800
1970-02-04,6.437500,6.437500,6.265625,6.304688,0.409166,392000
1970-02-05,6.304688,6.304688,6.250000,6.281250,0.407645,292800
1970-02-06,6.281250,6.304688,6.250000,6.265625,0.406631,313600
1970-02-09,6.273438,6.367188,6.273438,6.328125,0.410687,283200
1970-02-10,6.328125,6.359375,6.296875,6.351563,0.412208,267200
1970-02-11,6.351563,6.382813,6.328125,6.335938,0.411194,392000
1970-02-12,6.382813,6.453125,6.382813,6.453125,0.418799,217600
1970-02-13,6.453125,6.492188,6.429688,6.476563,0.420320,148800
1970-02-16,6.500000,6.609375,6.500000,6.609375,0.428940,142400
1970-02-17,6.640625,6.757813,6.640625,6.695313,0.434517,158400
1970-02-18,6.718750,6.867188,6.718750,6.796875,0.441109,683200
1970-02-19,6.796875,6.843750,6.765625,6.796875,0.441109,272000
1970-02-20,6.796875,6.859375,6.734375,6.750000,0.438066,584000
1970-02-24,6.750000,6.750000,6.695313,6.695313,0.434517,193600
1970-02-25,6.695313,6.859375,6.695313,6.859375,0.445165,299200
1970-02-26,6.859375,6.859375,6.765625,6.835938,0.443643,270400
1970-02-27,6.835938,6.851563,6.765625,6.812500,0.442122,152000
1970-03-02,6.812500,6.859375,6.796875,6.796875,0.441109,112000
1970-03-03,6.796875,6.804688,6.703125,6.734375,0.437052,128000
1970-03-04,6.734375,6.812500,6.718750,6.789063,0.440602,331200
1970-03-05,6.781250,6.781250,6.664063,6.687500,0.434010,168000
1970-03-06,6.687500,6.703125,6.625000,6.656250,0.431982,172800
1970-03-09,6.656250,6.671875,6.578125,6.601563,0.428433,120000
1970-03-10,6.601563,6.648438,6.531250,6.648438,0.431475,444800
1970-03-11,6.648438,6.687500,6.609375,6.640625,0.430968,201600
1970-03-12,6.640625,6.656250,6.593750,6.625000,0.429954,80000
1970-03-13,6.625000,6.648438,6.539063,6.625000,0.429954,155200
1970-03-16,6.531250,6.531250,6.375000,6.390625,0.414743,388800
1970-03-17,6.390625,6.523438,6.390625,6.437500,0.417786,228800
1970-03-18,6.437500,6.468750,6.398438,6.421875,0.416772,236800
1970-03-19,6.421875,6.460938,6.398438,6.445313,0.418293,126400
1970-03-20,6.437500,6.437500,6.328125,6.375000,0.413729,251200
1970-03-23,6.375000,6.390625,6.265625,6.281250,0.407645,393600
1970-03-24,6.312500,6.367188,6.312500,6.335938,0.411194,204800
1970-03-25,6.375000,6.554688,6.375000,6.476563,0.420320,436800
1970-03-26,6.476563,6.546875,6.437500,6.460938,0.419307,254400
1970-03-30,6.460938,6.500000,6.414063,6.500000,0.421842,198400
1970-03-31,6.500000,6.578125,6.468750,6.531250,0.423870,224000
1970-04-01,6.562500,6.679688,6.562500,6.632813,0.430461,241600
1970-04-02,6.632813,6.679688,6.632813,6.664063,0.432490,86400
1970-04-03,6.664063,6.664063,6.625000,6.648438,0.431475,121600
1970-04-06,6.625000,6.625000,6.507813,6.515625,0.422856,136000
1970-04-07,6.515625,6.546875,6.429688,6.515625,0.422856,681600
1970-04-08,6.515625,6.515625,6.437500,6.453125,0.418799,148800
1970-04-09,6.453125,6.500000,6.437500,6.476563,0.420320,225600
1970-04-10,6.476563,6.500000,6.429688,6.468750,0.419814,171200
1970-04-13,6.468750,6.468750,6.382813,6.421875,0.416772,131200
1970-04-14,6.406250,6.406250,6.343750,6.382813,0.414236,160000
1970-04-15,6.382813,6.437500,6.296875,6.312500,0.409673,363200
1970-04-16,6.312500,6.359375,6.289063,6.296875,0.408659,324800
1970-04-17,6.296875,6.296875,6.187500,6.187500,0.401561,363200
1970-04-20,6.187500,6.218750,6.171875,6.187500,0.401561,267200
1970-04-21,6.187500,6.343750,6.148438,6.156250,0.399533,472000
1970-04-22,6.140625,6.140625,6.031250,6.031250,0.391421,481600
1970-04-23,6.007813,6.007813,5.914063,5.953125,0.386350,524800
1970-04-24,5.953125,6.023438,5.898438,6.000000,0.389393,435200
1970-04-27,5.992188,5.992188,5.929688,5.937500,0.385336,257600
1970-04-28,5.937500,6.023438,5.890625,5.898438,0.382801,326400
1970-04-29,5.898438,5.929688,5.812500,5.929688,0.384829,448000
1970-04-30,5.929688,5.937500,5.781250,5.859375,0.380266,683200
1970-05-01,5.859375,5.914063,5.828125,5.875000,0.381280,260800
1970-05-04,5.828125,5.828125,5.664063,5.671875,0.368097,675200
1970-05-05,5.671875,5.687500,5.593750,5.617188,0.364548,564800
1970-05-06,5.617188,5.734375,5.593750,5.695313,0.369618,723200
1970-05-07,5.695313,5.828125,5.695313,5.828125,0.378238,353600
1970-05-08,5.828125,5.890625,5.796875,5.875000,0.381280,220800
1970-05-11,5.875000,5.921875,5.796875,5.804688,0.376717,196800
1970-05-12,5.804688,5.835938,5.710938,5.757813,0.373675,332800
1970-05-13,5.710938,5.710938,5.562500,5.562500,0.360999,366400
1970-05-14,5.531250,5.531250,5.437500,5.531250,0.358971,702400
1970-05-15,5.531250,5.640625,5.500000,5.625000,0.365055,302400
1970-05-18,5.625000,5.648438,5.570313,5.648438,0.368370,292800
1970-05-19,5.648438,5.648438,5.523438,5.531250,0.360727,174400
1970-05-20,5.531250,5.539063,5.281250,5.289063,0.344932,425600
1970-05-21,5.250000,5.250000,5.125000,5.234375,0.341366,784000
1970-05-22,5.234375,5.281250,5.132813,5.218750,0.340347,196800
1970-05-25,5.218750,5.218750,4.875000,4.875000,0.317929,508800
1970-05-26,4.875000,4.984375,4.843750,4.859375,0.316910,675200
1970-05-27,4.859375,5.148438,4.859375,5.148438,0.335761,480000
1970-05-28,5.148438,5.234375,5.109375,5.195313,0.338818,668800
1970-05-29,5.195313,5.281250,5.125000,5.281250,0.344423,377600
1970-06-01,5.281250,5.421875,5.281250,5.320313,0.346971,406400
1970-06-02,5.320313,5.375000,5.296875,5.375000,0.350537,350400
1970-06-03,5.375000,5.453125,5.375000,5.445313,0.355122,176000
1970-06-04,5.445313,5.515625,5.328125,5.367188,0.350027,406400
1970-06-05,5.367188,5.375000,5.281250,5.335938,0.347989,347200
1970-06-08,5.335938,5.375000,5.265625,5.265625,0.343404,585600
1970-06-09,5.257813,5.257813,5.195313,5.218750,0.340347,136000
1970-06-10,5.210938,5.210938,5.101563,5.132813,0.334742,217600
1970-06-11,5.132813,5.171875,5.039063,5.062500,0.330157,166400
1970-06-12,5.062500,5.062500,4.984375,5.031250,0.328119,336000
1970-06-15,5.132813,5.132813,5.000000,5.062500,0.330157,244800
1970-06-16,5.062500,5.179688,5.054688,5.179688,0.337799,254400
1970-06-17,5.171875,5.171875,5.117188,5.140625,0.335252,312000
1970-06-18,5.140625,5.203125,5.062500,5.109375,0.333214,665600
1970-06-19,5.109375,5.132813,5.000000,5.125000,0.334233,3617600
1970-06-22,5.109375,5.109375,5.039063,5.078125,0.331176,174400
1970-06-23,5.078125,5.078125,5.000000,5.007813,0.326590,222400
1970-06-24,5.007813,5.023438,4.968750,4.968750,0.324043,216000
1970-06-25,4.960938,4.960938,4.773438,4.859375,0.316910,406400
1970-06-26,4.859375,4.875000,4.812500,4.843750,0.315891,360000
1970-06-29,4.804688,4.804688,4.703125,4.750000,0.309777,225600
1970-06-30,4.750000,4.812500,4.718750,4.718750,0.307739,256000
1970-07-01,4.718750,4.726563,4.593750,4.593750,0.299587,286400
1970-07-02,4.593750,4.664063,4.562500,4.609375,0.300606,336000
1970-07-06,4.593750,4.593750,4.476563,4.484375,0.292454,419200
1970-07-07,4.484375,4.507813,4.437500,4.468750,0.291435,486400
1970-07-08,4.500000,4.687500,4.500000,4.687500,0.305701,422400
1970-07-09,4.687500,4.882813,4.687500,4.710938,0.307229,1344000
1970-07-10,4.710938,4.726563,4.671875,4.671875,0.304682,193600
1970-07-13,4.671875,4.679688,4.617188,4.617188,0.301115,252800
1970-07-14,4.625000,4.671875,4.625000,4.671875,0.304682,379200
1970-07-15,4.671875,4.734375,4.671875,4.734375,0.308758,401600
1970-07-16,4.781250,4.898438,4.781250,4.867188,0.317419,521600
1970-07-17,4.890625,4.984375,4.890625,4.984375,0.325062,380800
1970-07-20,4.984375,4.992188,4.914063,4.945313,0.322514,238400
1970-07-21,4.945313,4.984375,4.921875,4.984375,0.325062,256000
1970-07-22,4.984375,5.054688,4.937500,5.007813,0.326590,454400
1970-07-23,5.007813,5.085938,4.984375,5.085938,0.331685,374400
1970-07-24,5.085938,5.085938,5.000000,5.062500,0.330157,483200
1970-07-27,5.054688,5.054688,5.023438,5.031250,0.328119,136000
1970-07-28,5.031250,5.046875,5.000000,5.031250,0.328119,256000
1970-07-29,5.031250,5.070313,5.015625,5.031250,0.328119,451200
1970-07-30,5.031250,5.046875,5.007813,5.046875,0.329138,179200
1970-07-31,5.046875,5.062500,5.015625,5.046875,0.329138,233600
1970-08-03,5.046875,5.078125,5.015625,5.046875,0.329138,728000
1970-08-04,5.039063,5.039063,4.992188,5.031250,0.328119,240000
1970-08-05,5.031250,5.046875,5.007813,5.039063,0.328628,177600
1970-08-06,5.039063,5.140625,5.023438,5.140625,0.335252,200000
1970-08-07,5.140625,5.273438,5.125000,5.195313,0.338818,928000
1970-08-10,5.195313,5.218750,5.148438,5.171875,0.337290,128000
1970-08-11,5.171875,5.179688,5.078125,5.148438,0.335761,236800
1970-08-12,5.148438,5.148438,5.070313,5.078125,0.331176,108800
1970-08-13,5.078125,5.078125,4.984375,4.992188,0.325571,281600
1970-08-14,4.992188,4.992188,4.882813,4.882813,0.318439,320000
1970-08-17,4.882813,4.906250,4.875000,4.898438,0.321259,204800
1970-08-18,4.921875,4.992188,4.921875,4.945313,0.324333,265600
1970-08-19,4.953125,5.023438,4.953125,5.007813,0.328432,320000
1970-08-20,5.007813,5.093750,5.000000,5.093750,0.334068,212800
1970-08-21,5.093750,5.281250,5.039063,5.281250,0.346365,238400
1970-08-24,5.281250,5.468750,5.273438,5.390625,0.353538,2142400
1970-08-25,5.390625,5.453125,5.351563,5.437500,0.356613,416000
1970-08-26,5.437500,5.492188,5.429688,5.437500,0.356613,283200
1970-08-27,5.437500,5.515625,5.437500,5.484375,0.359687,160000
1970-08-28,5.484375,5.601563,5.484375,5.523438,0.362249,507200
