Date,Open,High,Low,Close,Adj Close,Volume
1980-10-01,3.775609,3.939765,3.775609,3.885046,0.004722,203700
1980-10-02,3.939765,4.350158,3.939765,4.213360,0.005121,356300
1980-10-03,4.240720,4.322798,4.240720,4.281759,0.005204,257600
1980-10-06,4.281759,4.295439,4.158641,4.158641,0.005054,137900
1980-10-07,4.158641,4.186001,4.035523,4.076563,0.004954,262200
1980-10-08,4.076563,4.227040,4.076563,4.199680,0.005104,85800
1980-10-09,4.199680,4.268079,4.103922,4.227040,0.005137,185400
1980-10-10,4.227040,4.391197,4.199680,4.309118,0.005237,147100
1980-10-13,4.309118,4.418556,4.295439,4.391197,0.005337,63000
1980-10-14,4.391197,4.569034,4.391197,4.541674,0.005520,111400
1980-10-15,4.527994,4.527994,4.404877,4.404877,0.005353,62100
1980-10-16,4.404877,4.404877,4.281759,4.363837,0.005304,98600
1980-10-17,4.363837,4.596393,4.336478,4.596393,0.005586,148900
1980-10-20,4.610073,4.774230,4.610073,4.746870,0.005769,174500
1980-10-21,4.746870,4.787910,4.459596,4.541674,0.005520,338000
1980-10-22,4.541674,4.623753,4.377517,4.541674,0.005520,305100
1980-10-23,4.541674,4.651112,4.514315,4.651112,0.005653,148000
1980-10-24,4.596393,4.596393,4.541674,4.569034,0.005553,129700
1980-10-27,4.555354,4.555354,4.432236,4.432236,0.005387,182700
1980-10-28,4.432236,4.541674,4.268079,4.486955,0.005453,195500
1980-10-29,4.486955,4.569034,4.404877,4.404877,0.005353,55700
1980-10-30,4.363837,4.363837,4.268079,4.268079,0.005187,49300
1980-10-31,4.268079,4.377517,4.254399,4.377517,0.005320,52900
1980-11-03,4.350158,4.350158,4.213360,4.268079,0.005187,58400
1980-11-05,4.309118,4.445916,4.309118,4.309118,0.005237,180900
1980-11-06,4.268079,4.268079,4.172321,4.172321,0.005071,103200
1980-11-07,4.131282,4.131282,4.021844,4.090242,0.004971,66700
1980-11-10,4.090242,4.131282,4.076563,4.131282,0.005021,47500
1980-11-11,4.131282,4.268079,4.131282,4.172321,0.005071,163500
1980-11-12,4.186001,4.350158,4.186001,4.350158,0.005287,123300
1980-11-13,4.350158,4.459596,4.281759,4.459596,0.005420,505300
1980-11-14,4.541674,4.664792,4.541674,4.637432,0.005636,463200
1980-11-17,4.637432,4.664792,4.569034,4.569034,0.005553,128800
1980-11-18,4.569034,4.842628,4.569034,4.705831,0.005719,310600
1980-11-19,4.787910,4.911027,4.787910,4.787910,0.005819,392900
1980-11-20,4.787910,4.828948,4.705831,4.746870,0.005769,353600
1980-11-21,4.733191,4.733191,4.651112,4.651112,0.005653,444000
1980-11-24,4.651112,4.692151,4.486955,4.569034,0.005553,117800
1980-11-25,4.569034,4.637432,4.514315,4.637432,0.005636,821400
1980-11-26,4.637432,4.678472,4.541674,4.596393,0.005586,245800
1980-11-28,4.596393,4.637432,4.527994,4.555354,0.005536,158900
1980-12-01,4.555354,4.610073,4.500635,4.514315,0.005486,98600
1980-12-02,4.541674,4.582713,4.541674,4.582713,0.005570,32800
1980-12-03,4.582713,4.678472,4.555354,4.569034,0.005553,63000
1980-12-04,4.569034,4.610073,4.541674,4.541674,0.005520,61200
1980-12-05,4.541674,4.582713,4.514315,4.514315,0.005486,60300
1980-12-08,4.459596,4.459596,4.336478,4.336478,0.005270,71200
1980-12-09,4.336478,4.336478,4.240720,4.240720,0.005154,31900
1980-12-10,4.240720,4.268079,4.131282,4.131282,0.005021,31900
1980-12-11,4.090242,4.090242,3.885046,3.912406,0.004755,79400
1980-12-12,3.926086,4.035523,3.926086,3.926086,0.004772,52900
1980-12-15,3.926086,4.186001,3.926086,4.186001,0.005087,70300
1980-12-16,4.172321,4.172321,4.049203,4.076563,0.004954,84000
1980-12-17,4.076563,4.158641,4.076563,4.117602,0.005004,38300
1980-12-18,4.158641,4.268079,4.158641,4.172321,0.005071,51100
1980-12-19,4.199680,4.240720,4.199680,4.199680,0.005104,30100
1980-12-22,4.199680,4.254399,4.186001,4.186001,0.005087,59300
1980-12-23,4.186001,4.254399,4.172321,4.172321,0.005071,66700
1980-12-24,4.131282,4.131282,4.076563,4.131282,0.005021,69400
1980-12-26,4.131282,4.158641,4.103922,4.103922,0.004988,11800
1980-12-29,4.144961,4.213360,4.144961,4.144961,0.005038,94100
1980-12-30,4.144961,4.158641,4.090242,4.131282,0.005021,40200
1980-12-31,4.131282,4.172321,4.103922,4.131282,0.005021,53900
1981-01-02,4.131282,4.186001,4.131282,4.186001,0.005087,44700
1981-01-05,4.186001,4.350158,4.186001,4.350158,0.005287,64800
1981-01-06,4.377517,4.486955,4.377517,4.445916,0.005403,137900
1981-01-07,4.363837,4.363837,4.103922,4.309118,0.005237,229300
1981-01-08,4.309118,4.336478,4.213360,4.281759,0.005204,148900
1981-01-09,4.281759,4.350158,4.227040,4.336478,0.005270,45600
1981-01-12,4.336478,4.445916,4.336478,4.418556,0.005370,63000
1981-01-13,4.418556,4.432236,4.309118,4.336478,0.005270,41100
1981-01-14,4.336478,4.336478,4.281759,4.309118,0.005237,91300
1981-01-15,4.309118,4.336478,4.254399,4.309118,0.005237,97700
1981-01-16,4.309118,4.418556,4.295439,4.336478,0.005270,164400
1981-01-19,4.309118,4.309118,4.295439,4.295439,0.005220,69400
1981-01-20,4.295439,4.322798,4.281759,4.281759,0.005204,39200
1981-01-21,4.268079,4.268079,4.172321,4.227040,0.005137,47500
1981-01-22,4.227040,4.268079,4.131282,4.158641,0.005054,57500
1981-01-23,4.158641,4.186001,4.090242,4.131282,0.005021,63000
1981-01-26,4.131282,4.131282,4.049203,4.090242,0.004971,62100
1981-01-27,4.090242,4.227040,4.076563,4.199680,0.005104,58400
1981-01-28,4.199680,4.199680,4.158641,4.186001,0.005087,53900
1981-01-29,4.186001,4.199680,4.158641,4.199680,0.005104,31900
1981-01-30,4.199680,4.295439,4.199680,4.268079,0.005187,81300
1981-02-02,4.240720,4.240720,4.158641,4.158641,0.005054,134300
1981-02-03,4.158641,4.158641,3.994484,4.144961,0.005038,150700
1981-02-04,4.144961,4.158641,4.035523,4.035523,0.004905,80400
1981-02-05,4.035523,4.062883,3.980805,4.062883,0.004938,28300
1981-02-06,4.062883,4.131282,4.049203,4.131282,0.005021,59300
1981-02-09,4.131282,4.144961,4.117602,4.144961,0.005038,83100
1981-02-10,4.144961,4.144961,4.076563,4.076563,0.004954,43800
1981-02-11,4.076563,4.090242,3.939765,3.939765,0.004788,58400
1981-02-12,3.939765,3.939765,3.802968,3.857687,0.004688,54800
1981-02-13,3.857687,3.898726,3.748249,3.816648,0.004639,84900
1981-02-17,3.816648,3.912406,3.789288,3.816648,0.004639,88600
1981-02-18,3.816648,3.844007,3.775609,3.802968,0.004622,22800
1981-02-19,3.802968,3.816648,3.775609,3.802968,0.004622,87700
1981-02-20,3.789288,3.789288,3.720890,3.775609,0.004589,64800
1981-02-23,3.775609,3.830328,3.707210,3.720890,0.004522,93200
1981-02-24,3.720890,3.761929,3.693530,3.734569,0.004539,29200
1981-02-25,3.720890,3.720890,3.611452,3.707210,0.004506,84900
1981-02-26,3.707210,3.748249,3.652491,3.693530,0.004489,58400
1981-02-27,3.693530,3.720890,3.652491,3.707210,0.004506,122400
1981-03-02,3.707210,3.802968,3.693530,3.802968,0.004622,60300
1981-03-03,3.844007,3.912406,3.844007,3.885046,0.004722,49300
1981-03-04,3.885046,3.926086,3.816648,3.885046,0.004722,124200
1981-03-05,3.885046,3.898726,3.775609,3.789288,0.004605,33800
1981-03-06,3.775609,3.775609,3.707210,3.720890,0.004522,37400
1981-03-09,3.720890,3.775609,3.693530,3.693530,0.004489,40200
1981-03-10,3.693530,3.761929,3.679850,3.734569,0.004539,77600
1981-03-11,3.734569,3.734569,3.556733,3.584092,0.004356,87700
1981-03-12,3.638811,3.939765,3.638811,3.939765,0.004788,63000
1981-03-13,3.939765,3.980805,3.926086,3.953445,0.004805,50200
1981-03-16,3.939765,3.939765,3.844007,3.912406,0.004755,39200
1981-03-17,3.912406,3.994484,3.912406,3.967125,0.004821,24600
1981-03-18,3.967125,3.967125,3.871367,3.898726,0.004738,54800
1981-03-19,3.898726,3.898726,3.816648,3.885046,0.004722,77600
1981-03-20,3.871367,3.871367,3.830328,3.871367,0.004705,38300
1981-03-23,3.871367,3.871367,3.789288,3.844007,0.004672,100500
1981-03-24,3.844007,3.871367,3.761929,3.761929,0.004572,31000
1981-03-25,3.761929,3.844007,3.666171,3.707210,0.004506,72100
1981-03-26,3.707210,3.707210,3.570412,3.570412,0.004339,104100
1981-03-27,3.597772,3.775609,3.597772,3.734569,0.004539,47500
1981-03-30,3.734569,3.789288,3.720890,3.775609,0.004589,49300
1981-03-31,3.775609,3.830328,3.720890,3.830328,0.004655,38300
1981-04-01,3.857687,4.008164,3.857687,4.008164,0.004871,120600
1981-04-02,4.008164,4.021844,3.994484,4.021844,0.004888,62100
1981-04-03,4.021844,4.021844,3.967125,3.967125,0.004821,47500
1981-04-06,3.953445,3.953445,3.898726,3.926086,0.004772,28300
1981-04-07,3.926086,3.939765,3.898726,3.939765,0.004788,21900
1981-04-08,3.939765,4.021844,3.939765,3.980805,0.004838,134300
