Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,0.541380,0.563330,0.541380,0.548700,0.164831,120300
1987-12-31,0.541380,0.556010,0.534060,0.548700,0.164831,337500
1988-01-04,0.563330,0.570640,0.563330,0.570640,0.171421,109500
1988-01-05,0.577960,0.607220,0.577960,0.607220,0.186208,537400
1988-01-06,0.599910,0.621860,0.599910,0.621860,0.190698,182200
1988-01-07,0.614540,0.614540,0.614540,0.614540,0.188453,100
1988-01-08,0.621860,0.636490,0.592590,0.592590,0.181722,95400
1988-01-11,0.585280,0.592590,0.577960,0.577960,0.177235,51900
1988-01-12,0.585280,0.585280,0.563330,0.570640,0.174991,243100
1988-01-13,0.577960,0.585280,0.577960,0.585280,0.179480,33700
1988-01-14,0.585280,0.585280,0.577960,0.577960,0.177235,130500
1988-01-15,0.585280,0.592590,0.585280,0.585280,0.179480,68800
1988-01-18,0.585280,0.599910,0.585280,0.592590,0.181722,50500
1988-01-19,0.599910,0.599910,0.599910,0.599910,0.183967,100
1988-01-20,0.585280,0.585280,0.585280,0.585280,0.179480,102100
1988-01-21,0.592590,0.592590,0.585280,0.585280,0.179480,21100
1988-01-22,0.592590,0.599910,0.592590,0.599910,0.183967,2800
1988-01-25,0.592590,0.607220,0.592590,0.607220,0.186208,7300
1988-01-26,0.614540,0.614540,0.607220,0.614540,0.188453,34600
1988-01-27,0.607220,0.614540,0.607220,0.614540,0.188453,7300
1988-01-28,0.614540,0.629170,0.614540,0.629170,0.192939,51900
1988-01-29,0.621860,0.629170,0.614540,0.621860,0.190698,270600
1988-02-01,0.629170,0.629170,0.629170,0.629170,0.192939,27100
1988-02-02,0.629170,0.629170,0.629170,0.629170,0.192939,33700
1988-02-03,0.629170,0.636490,0.629170,0.629170,0.192939,96000
1988-02-04,0.621860,0.629170,0.621860,0.629170,0.192939,23100
1988-02-05,0.636490,0.636490,0.614540,0.621860,0.190698,89200
1988-02-08,0.614540,0.629170,0.614540,0.621860,0.190698,10900
1988-02-09,0.621860,0.621860,0.614540,0.614540,0.188453,16300
1988-02-10,0.607220,0.614540,0.607220,0.614540,0.188453,10900
1988-02-11,0.607220,0.607220,0.599910,0.599910,0.183967,23100
1988-02-12,0.599910,0.599910,0.585280,0.592590,0.181722,16300
1988-02-16,0.592590,0.592590,0.570640,0.577960,0.177235,200700
1988-02-17,0.577960,0.577960,0.577960,0.577960,0.177235,91300
1988-02-18,0.577960,0.577960,0.570640,0.570640,0.174991,95400
1988-02-19,0.577960,0.592590,0.577960,0.585280,0.179480,629100
1988-02-22,0.585280,0.585280,0.577960,0.585280,0.179480,36600
1988-02-23,0.577960,0.592590,0.563330,0.592590,0.181722,38400
1988-02-24,0.599910,0.599910,0.585280,0.585280,0.179480,91300
1988-02-25,0.585280,0.592590,0.585280,0.585280,0.179480,81900
1988-02-26,0.592590,0.592590,0.585280,0.585280,0.179480,4200
1988-02-29,0.585280,0.599910,0.585280,0.599910,0.183967,112200
1988-03-01,0.614540,0.621860,0.614540,0.621860,0.190698,62100
1988-03-02,0.629170,0.636490,0.621860,0.621860,0.190698,57600
1988-03-03,0.629170,0.651120,0.629170,0.651120,0.199670,54600
1988-03-04,0.651120,0.673070,0.643800,0.665750,0.204157,45400
1988-03-07,0.658440,0.665750,0.651120,0.665750,0.204157,36600
1988-03-08,0.658440,0.665750,0.658440,0.658440,0.205508,57600
1988-03-09,0.665750,0.680380,0.665750,0.673070,0.210075,202500
1988-03-10,0.673070,0.673070,0.658440,0.658440,0.205508,103200
1988-03-11,0.651120,0.658440,0.643800,0.658440,0.205508,120300
1988-03-14,0.643800,0.665750,0.643800,0.665750,0.207790,358300
1988-03-15,0.665750,0.665750,0.658440,0.665750,0.207790,1036000
1988-03-16,0.673070,0.673070,0.665750,0.673070,0.210075,62100
1988-03-17,0.673070,0.731600,0.673070,0.724280,0.226058,461800
1988-03-18,0.724280,0.724280,0.709650,0.709650,0.221492,51900
1988-03-21,0.716960,0.716960,0.716960,0.716960,0.223773,171400
1988-03-22,0.709650,0.709650,0.695020,0.695020,0.216926,47400
1988-03-23,0.687700,0.702330,0.680380,0.702330,0.219207,82300
1988-03-24,0.702330,0.702330,0.695020,0.695020,0.216926,50500
1988-03-25,0.687700,0.687700,0.673070,0.673070,0.210075,150700
1988-03-28,0.665750,0.665750,0.651120,0.651120,0.203224,57600
1988-03-29,0.658440,0.658440,0.651120,0.658440,0.205508,50500
1988-03-30,0.643800,0.651120,0.643800,0.651120,0.203224,38400
1988-03-31,0.636490,0.651120,0.636490,0.651120,0.203224,85000
1988-04-04,0.651120,0.658440,0.643800,0.658440,0.205508,40600
1988-04-05,0.658440,0.665750,0.651120,0.665750,0.207790,72900
1988-04-06,0.658440,0.665750,0.658440,0.665750,0.207790,38400
1988-04-07,0.665750,0.665750,0.665750,0.665750,0.207790,4200
1988-04-08,0.658440,0.673070,0.658440,0.673070,0.210075,81900
