Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,1.109380,1.109380,1.085940,1.093750,-11.605268,857600
1987-12-31,1.093750,1.101560,1.085940,1.101560,-11.688133,1257600
1988-01-04,1.097660,1.144530,1.097660,1.140620,-12.102579,553600
1988-01-05,1.140620,1.167970,1.140620,1.164060,-12.351297,1577600
1988-01-06,1.171880,1.171880,1.164060,1.167970,-12.392784,163200
1988-01-07,1.156250,1.179690,1.156250,1.179690,-12.517139,870400
1988-01-08,1.175780,1.191410,1.175780,1.175780,-12.475649,499200
1988-01-11,1.167970,1.167970,1.148440,1.152340,-12.226941,1292800
1988-01-12,1.148440,1.148440,1.132810,1.136720,-12.061200,1104000
1988-01-13,1.136720,1.136720,1.136720,1.136720,-12.061200,60800
1988-01-14,1.136720,1.136720,1.136720,1.136720,-12.061200,25600
1988-01-15,1.144530,1.171880,1.144530,1.171880,-12.434269,1116800
1988-01-18,1.179690,1.179690,1.171880,1.171880,-12.434269,92800
1988-01-19,1.164060,1.171880,1.164060,1.171880,-12.434269,329600
1988-01-20,1.171880,1.171880,1.164060,1.164060,-12.351297,115200
1988-01-21,1.156250,1.171880,1.156250,1.167970,-12.392784,428800
1988-01-22,1.171880,1.203120,1.171880,1.203120,-12.765739,745600
1988-01-25,1.218750,1.226560,1.218750,1.218750,-12.931590,352000
1988-01-26,1.218750,1.218750,1.207030,1.210940,-12.848717,192000
1988-01-27,1.214840,1.214840,1.191410,1.191410,-12.641489,560000
1988-01-28,1.187500,1.203120,1.187500,1.195310,-12.682868,224000
1988-01-29,1.187500,1.203120,1.187500,1.199220,-12.724359,707200
1988-02-01,1.199220,1.210940,1.199220,1.210940,-12.848717,102400
1988-02-02,1.218750,1.222660,1.210940,1.222660,-12.973070,400000
1988-02-03,1.218750,1.218750,1.203120,1.210940,-12.848717,556800
1988-02-04,1.210940,1.218750,1.207030,1.214840,-12.890097,912000
1988-02-05,1.210940,1.214840,1.207030,1.207030,-12.807228,54400
1988-02-08,1.207030,1.207030,1.207030,1.207030,-12.807228,64000
1988-02-09,1.207030,1.210940,1.207030,1.207030,-12.807228,128000
1988-02-10,1.207030,1.218750,1.207030,1.207030,-12.807228,227200
1988-02-11,1.207030,1.222660,1.203120,1.222660,-12.973070,268800
1988-02-12,1.214840,1.222660,1.214840,1.222660,-12.973070,198400
1988-02-16,1.218750,1.242190,1.218750,1.242190,-13.180295,252800
1988-02-17,1.234380,1.242190,1.234380,1.238280,-13.138803,540800
1988-02-18,1.238280,1.246090,1.238280,1.242190,-13.180295,323200
1988-02-19,1.242190,1.257810,1.242190,1.253910,-13.304650,409600
1988-02-22,1.257810,1.265620,1.253910,1.265620,-13.428900,83200
1988-02-23,1.269530,1.273440,1.265620,1.269530,-13.470387,332800
1988-02-24,1.273440,1.289060,1.273440,1.281250,-13.594743,89600
1988-02-25,1.289060,1.289060,1.289060,1.289060,-13.677608,54400
1988-02-26,1.296880,1.296880,1.281250,1.292970,-13.719096,284800
1988-02-29,1.285160,1.285160,1.273440,1.285160,-15.292011,486400
1988-03-01,1.281250,1.289060,1.281250,1.281250,-15.245494,163200
1988-03-02,1.281250,1.312500,1.281250,1.312500,-15.617332,1088000
1988-03-03,1.316410,1.328120,1.312500,1.328120,-15.803192,195200
1988-03-04,1.328120,1.332030,1.324220,1.324220,-15.756786,22400
1988-03-07,1.328120,1.343750,1.324220,1.343750,-15.989172,83200
1988-03-08,1.363280,1.382810,1.363280,1.382810,-16.453943,185600
1988-03-09,1.390620,1.406250,1.390620,1.406250,-16.732859,268800
1988-03-10,1.406250,1.414060,1.406250,1.410160,-16.779385,528000
1988-03-11,1.406250,1.433590,1.406250,1.433590,-17.058174,854400
1988-03-14,1.429690,1.445310,1.421880,1.441410,-17.151224,297600
1988-03-15,1.449220,1.460940,1.441410,1.441410,-17.151224,307200
1988-03-16,1.441410,1.453120,1.441410,1.453120,-17.290554,377600
1988-03-17,1.457030,1.457030,1.457030,1.457030,-17.337088,358400
1988-03-18,1.460940,1.464840,1.457030,1.457030,-17.337088,150400
