Date,Open,High,Low,Close,Adj Close,Volume
1985-07-01,6.140625,6.218750,6.140625,6.140625,0.166462,496800
1985-07-02,6.140625,6.171875,6.125000,6.171875,0.167309,384000
1985-07-03,6.171875,6.218750,6.156250,6.218750,0.168580,518400
1985-07-05,6.218750,6.218750,6.140625,6.156250,0.166886,801600
1985-07-08,6.125000,6.125000,6.093750,6.109375,0.165615,615200
1985-07-09,6.093750,6.093750,6.062500,6.078125,0.164768,516000
1985-07-10,6.078125,6.093750,6.046875,6.062500,0.164345,348000
1985-07-11,6.078125,6.296875,6.078125,6.281250,0.170275,747200
1985-07-12,6.281250,6.312500,6.218750,6.265625,0.169851,1032800
1985-07-15,6.265625,6.265625,6.140625,6.140625,0.166462,684800
1985-07-16,6.140625,6.187500,5.812500,5.953125,0.161380,2883200
1985-07-17,5.953125,6.000000,5.906250,5.953125,0.161380,1948800
1985-07-18,5.953125,5.953125,5.875000,5.890625,0.159685,1396000
1985-07-19,5.890625,5.937500,5.687500,5.937500,0.160956,1494400
1985-07-22,5.937500,6.000000,5.750000,5.828125,0.157991,793600
1985-07-23,5.828125,5.843750,5.718750,5.750000,0.155873,824800
1985-07-24,5.750000,5.750000,5.656250,5.734375,0.155449,453600
1985-07-25,5.734375,5.765625,5.718750,5.750000,0.155873,892000
1985-07-26,5.750000,5.812500,5.750000,5.765625,0.156297,926400
1985-07-29,5.765625,5.765625,5.625000,5.656250,0.153332,1500000
1985-07-30,5.656250,5.734375,5.640625,5.687500,0.154179,698400
1985-07-31,5.687500,5.906250,5.687500,5.890625,0.159685,1136000
1985-08-01,5.953125,6.031250,5.953125,6.031250,0.163497,1688000
1985-08-02,6.031250,6.078125,5.968750,6.031250,0.163497,1108000
1985-08-05,6.031250,6.078125,6.031250,6.031250,0.163497,874400
1985-08-06,6.000000,6.000000,5.781250,5.812500,0.157567,601600
1985-08-07,5.812500,5.875000,5.781250,5.812500,0.157567,575200
1985-08-08,5.812500,5.906250,5.812500,5.875000,0.159262,696000
1985-08-09,5.875000,5.890625,5.781250,5.843750,0.158415,405600
1985-08-12,5.843750,5.843750,5.734375,5.765625,0.156297,331200
