Date,Open,High,Low,Close,Adj Close,Volume
1982-01-04,5.484461,5.541591,5.398766,5.513026,1.578358,321100
1982-01-05,5.398766,5.513026,5.255941,5.427331,1.553823,442400
1982-01-06,5.170247,5.341636,4.970293,5.113117,1.463864,565800
1982-01-07,5.027422,5.113117,4.913163,4.998857,1.431152,508900
1982-01-08,5.027422,5.084552,4.970293,5.027422,1.439331,340400
1982-01-11,4.856033,5.084552,4.627514,4.713208,1.349372,521100
1982-01-12,4.741773,4.827468,4.656079,4.827468,1.382085,473400
1982-01-13,4.713208,4.856033,4.570384,4.627514,1.324839,313300
1982-01-14,4.713208,4.856033,4.570384,4.770338,1.365728,260800
1982-01-15,4.856033,4.913163,4.798903,4.913163,1.406619,185900
1982-01-18,4.856033,4.913163,4.798903,4.884598,1.398440,208700
1982-01-19,4.627514,4.856033,4.398994,4.484689,1.283948,1352100
1982-01-20,4.541819,4.627514,4.456124,4.627514,1.324839,477400
1982-01-21,4.627514,4.656079,4.570384,4.598949,1.316660,393400
1982-01-22,4.598949,4.656079,4.541819,4.598949,1.316660,238000
1982-01-25,4.598949,4.656079,4.541819,4.570384,1.308483,223600
1982-01-26,4.513254,4.627514,4.398994,4.456124,1.275770,329500
1982-01-27,4.541819,4.627514,4.456124,4.627514,1.324839,160100
1982-01-28,4.741773,4.798903,4.656079,4.741773,1.357550,301900
1982-01-29,4.856033,4.913163,4.798903,4.798903,1.373906,326000
1982-02-01,4.684644,4.741773,4.627514,4.656079,1.333016,123800
1982-02-02,4.627514,4.656079,4.570384,4.570384,1.308483,227900
1982-02-03,4.541819,4.627514,4.456124,4.513254,1.292127,197300
1982-02-04,4.541819,4.570384,4.484689,4.541819,1.300304,176300
1982-02-05,4.513254,4.570384,4.456124,4.484689,1.289137,123800
1982-02-08,4.398994,4.484689,4.284735,4.284735,1.231659,328600
1982-02-09,4.284735,4.341865,4.199040,4.256170,1.223448,207800
1982-02-10,4.170475,4.313300,3.999086,4.056216,1.165970,397700
1982-02-11,4.084781,4.170475,3.970521,4.027651,1.157760,400800
1982-02-12,4.170475,4.227605,4.084781,4.113346,1.182393,541300
1982-02-16,4.056216,4.113346,3.970521,4.084781,1.174181,231000
1982-02-17,4.141911,4.170475,4.084781,4.084781,1.174181,408200
1982-02-18,4.199040,4.256170,4.141911,4.227605,1.215237,163200
1982-02-19,4.199040,4.227605,4.141911,4.199040,1.207027,138200
1982-02-22,4.199040,4.341865,4.056216,4.056216,1.165970,187200
1982-02-23,3.999086,4.084781,3.884826,4.084781,1.174181,267300
1982-02-24,4.141911,4.227605,4.027651,4.141911,1.190605,301900
1982-02-25,4.170475,4.256170,4.084781,4.227605,1.215237,497500
1982-02-26,4.284735,4.313300,4.227605,4.284735,1.231659,250300
1982-03-01,4.227605,4.313300,4.141911,4.256170,1.223448,213100
1982-03-02,4.227605,4.313300,4.113346,4.113346,1.182393,136000
1982-03-03,4.027651,4.113346,3.913391,4.027651,1.157760,514100
1982-03-04,3.799132,3.913391,3.656307,3.742002,1.075649,267300
1982-03-05,3.713437,3.856261,3.542048,3.656307,1.051017,344800
1982-03-08,3.627742,3.799132,3.427788,3.427788,0.985328,262500
1982-03-09,3.484918,3.599177,3.370658,3.513483,1.009961,392000
1982-03-10,3.656307,3.827697,3.484918,3.656307,1.051017,238900
1982-03-11,3.742002,3.799132,3.684872,3.684872,1.059227,140900
1982-03-12,3.684872,3.742002,3.627742,3.684872,1.059227,143500
1982-03-15,3.799132,3.856261,3.742002,3.799132,1.092071,99700
1982-03-16,3.856261,3.941956,3.742002,3.827697,1.100283,128200
1982-03-17,3.884826,3.913391,3.856261,3.884826,1.116705,59000
1982-03-18,4.027651,4.113346,3.913391,4.113346,1.182393,208200
1982-03-19,4.170475,4.227605,4.084781,4.113346,1.182393,141700
1982-03-22,4.113346,4.170475,4.056216,4.113346,1.182393,111100
1982-03-23,4.141911,4.227605,4.027651,4.141911,1.190605,195100
1982-03-24,3.999086,4.141911,3.827697,3.913391,1.124915,215200
1982-03-25,3.913391,3.999086,3.827697,3.970521,1.141337,217900
1982-03-26,3.913391,3.970521,3.856261,3.913391,1.124915,152700
1982-03-29,3.827697,3.884826,3.770567,3.799132,1.092071,192900
1982-03-30,3.856261,3.913391,3.770567,3.884826,1.116705,141700
1982-03-31,3.970521,4.056216,3.884826,4.027651,1.157760,168900
1982-04-01,4.027651,4.056216,3.970521,4.027651,1.157760,132100
1982-04-02,4.141911,4.227605,4.056216,4.170475,1.198815,391600
1982-04-05,4.227605,4.284735,4.141911,4.170475,1.198815,227500
1982-04-06,4.199040,4.227605,4.141911,4.170475,1.198815,261200
1982-04-07,4.227605,4.284735,4.141911,4.170475,1.198815,227500
1982-04-08,4.170475,4.227605,4.113346,4.141911,1.190605,862900
1982-04-12,4.027651,4.170475,3.856261,3.970521,1.141337,202100
1982-04-13,3.884826,3.970521,3.770567,3.884826,1.116705,326400
1982-04-14,3.856261,3.941956,3.770567,3.827697,1.100283,198200
1982-04-15,3.770567,3.827697,3.713437,3.799132,1.092071,581500
1982-04-16,3.799132,3.856261,3.742002,3.827697,1.100283,312800
1982-04-19,3.770567,3.827697,3.684872,3.713437,1.067438,354000
1982-04-20,3.713437,3.742002,3.656307,3.713437,1.067438,259400
1982-04-21,3.684872,3.713437,3.656307,3.684872,1.059227,259900
1982-04-22,3.770567,3.884826,3.627742,3.884826,1.116705,407400
1982-04-23,3.970521,4.027651,3.913391,4.027651,1.157760,405600
1982-04-26,4.170475,4.256170,4.056216,4.227605,1.215237,288300
1982-04-27,4.256170,4.341865,4.170475,4.313300,1.239871,635800
1982-04-28,4.484689,4.656079,4.313300,4.656079,1.338402,543000
1982-04-29,4.513254,4.598949,4.398994,4.398994,1.264504,804700
1982-04-30,4.456124,4.541819,4.370430,4.484689,1.289137,321600
1982-05-03,4.484689,4.541819,4.427559,4.513254,1.297347,143500
1982-05-04,4.456124,4.513254,4.370430,4.370430,1.256293,200400
1982-05-05,4.370430,4.427559,4.284735,4.313300,1.239871,135200
1982-05-06,4.370430,4.398994,4.313300,4.370430,1.261639,74800
1982-05-07,4.484689,4.541819,4.427559,4.541819,1.311115,242400
1982-05-10,4.627514,4.684644,4.570384,4.656079,1.344099,355700
1982-05-11,4.770338,4.913163,4.627514,4.884598,1.410068,515900
1982-05-12,4.884598,4.970293,4.798903,4.941728,1.426559,569300
1982-05-13,4.941728,4.970293,4.884598,4.913163,1.418314,299300
1982-05-14,4.913163,4.941728,4.884598,4.913163,1.418314,206900
1982-05-17,4.798903,4.913163,4.656079,4.713208,1.360592,169700
1982-05-18,4.627514,4.684644,4.570384,4.656079,1.344099,147000
1982-05-19,4.713208,4.798903,4.598949,4.684644,1.352346,200400
1982-05-20,4.627514,4.656079,4.570384,4.570384,1.319362,86200
1982-05-21,4.570384,4.627514,4.484689,4.513254,1.302869,139500
1982-05-24,4.627514,4.656079,4.570384,4.570384,1.319362,86200
1982-05-25,4.656079,4.684644,4.598949,4.627514,1.335855,129000
1982-05-26,4.541819,4.598949,4.456124,4.484689,1.294623,104500
1982-05-27,4.427559,4.456124,4.370430,4.398994,1.269886,114600
1982-05-28,4.456124,4.513254,4.370430,4.427559,1.278132,143500
1982-06-01,4.427559,4.456124,4.370430,4.456124,1.286377,88800
1982-06-02,4.484689,4.570384,4.398994,4.570384,1.319362,81300
1982-06-03,4.570384,4.627514,4.513254,4.541819,1.311115,291000
1982-06-04,4.541819,4.598949,4.484689,4.513254,1.302869,265600
1982-06-07,4.484689,4.513254,4.427559,4.484689,1.294623,106300
1982-06-08,4.484689,4.513254,4.427559,4.456124,1.286377,72200
1982-06-09,4.398994,4.456124,4.341865,4.341865,1.253394,117200
1982-06-10,4.284735,4.313300,4.227605,4.256170,1.228655,102800
1982-06-11,4.284735,4.427559,4.284735,4.398994,1.269886,117200
1982-06-14,4.398994,4.427559,4.341865,4.341865,1.253394,158400
1982-06-15,4.313300,4.341865,4.284735,4.313300,1.245148,115900
1982-06-16,4.256170,4.341865,4.170475,4.227605,1.220410,95300
1982-06-17,4.027651,4.113346,3.941956,3.941956,1.137949,104100
1982-06-18,3.856261,3.941956,3.770567,3.770567,1.088474,189400
1982-06-21,3.827697,3.884826,3.770567,3.770567,1.088474,185900
1982-06-22,3.799132,3.856261,3.713437,3.799132,1.096719,87900
1982-06-23,3.856261,3.913391,3.770567,3.913391,1.129703,182000
1982-06-24,3.913391,3.970521,3.827697,3.970521,1.146195,210900
1982-06-25,3.999086,4.027651,3.941956,3.941956,1.137949,95300
1982-06-28,3.970521,3.999086,3.941956,3.999086,1.154441,78300
1982-06-29,3.913391,3.970521,3.827697,3.827697,1.104966,72600
1982-06-30,3.770567,3.856261,3.656307,3.684872,1.063735,329900
1982-07-01,3.656307,3.684872,3.599177,3.599177,1.038997,168900
1982-07-02,3.627742,3.656307,3.570612,3.599177,1.038997,192100
1982-07-06,3.627742,3.627742,3.599177,3.627742,1.047244,94000
1982-07-07,3.627742,3.656307,3.599177,3.599177,1.038997,105400
